Lee,Aarons,2,3.5,0,2,Engineering,VGVhY2hlci0yMTIwMTUx,2120151
Bill,Abb,4.8,2,100,157,Mathematics,VGVhY2hlci05ODQ5MQ==,98491
William,Abb,4.8,2.1,100,28,Mathematics  Statistics,VGVhY2hlci0xOTUzMjM5,1953239
Mirsaeid,Abolghasemi,4.6,2.7,92.9032,139,Computer Information Systems,VGVhY2hlci0yMzQ3ODky,2347892
David,Abouav,3.3,3.4,-1,8,Physics,VGVhY2hlci0xMjk2NzQ1,1296745
Matthew,Abrahams,5,1.7,100,4,Speech Communication,VGVhY2hlci0xODU1ODE3,1855817
Joel,Abramson,4.8,1.4,100,26,Film  Television,VGVhY2hlci0xOTk3MTA5,1997109
Ruben,Abrica-Carrasco,3.6,1.9,25,61,Intercultural Studies,VGVhY2hlci0xNzU0Nzk=,175479
Veronica,Acevedo Avila,4.2,2.2,100,35,Reading,VGVhY2hlci0xODAyNjQ5,1802649
Gigi,Acker,4.9,1.3,100,47,Nutrition,VGVhY2hlci05NTQxMDQ=,954104
Georgia,Acker,5,1.8,100,5,Nutrition,VGVhY2hlci0yNTg1OTMy,2585932
Jeanne,Adam,3.6,3.1,-1,17,Mathematics & Statistics,VGVhY2hlci0xNDE1OTMw,1415930
Jeff,Adams,3.5,1.5,-1,8,Physical Ed,VGVhY2hlci02MjgyMTA=,628210
Maryam,Adamzadeh,4.5,2.1,100,11,Mathematics,VGVhY2hlci0yNTgzNjMz,2583633
Pricillia,Aditya,0,0,-1,0,Women's Studies,VGVhY2hlci0xNzMzNzEy,1733712
Mishan,Afsari,5,2.4,100,14,Biology,VGVhY2hlci0yMzIxNTU2,2321556
Kristin,Agius,4.8,2.2,100,6,Reading,VGVhY2hlci0yMzkwOTM3,2390937
Mayra,Aguilar,4.5,2.4,96.9697,32,Anthropology,VGVhY2hlci0yNDI2MDkw,2426090
James,Ahern,4.3,2.6,36.8421,83,Speech Communication,VGVhY2hlci01ODUwMTQ=,585014
Shabeena,Ahmed,0,0,-1,0,Mathematics,VGVhY2hlci0yMjk3Mjg1,2297285
Maike,Ahrends,4.8,1.7,100,38,English,VGVhY2hlci05NDg4NzI=,948872
Edward,Ahrens,3.5,1.8,78.125,60,Computer Information Systems,VGVhY2hlci0zMzg1MTg=,338518
Abeer,Alameer,3.9,3.3,72.0588,59,Computer Information Systems,VGVhY2hlci0yMDI5NjY2,2029666
Ernest,Alcantara,5,3.3,-1,3,Nursing,VGVhY2hlci0xMDgxNzU4,1081758
Viviana,Alcazar,0,0,80,0,Spanish,VGVhY2hlci0yNzI5MDAw,2729000
Jaclyn,Alderete,0,0,-1,0,Women's Studies,VGVhY2hlci03OTM3MjM=,793723
Amir,Alem,3,3.5,50,2,Administration Of Justice,VGVhY2hlci0yNjIyNjgz,2622683
Robert,Alexander,4.8,2,94.3182,90,Counseling,VGVhY2hlci0xMzA0OTcx,1304971
Babara,Allie,3.5,2,-1,15,Fine Arts,VGVhY2hlci00ODU3NTQ=,485754
Barbara ,Allie,0,0,-1,0,Art,VGVhY2hlci0yMDEzMzA5,2013309
Patrick,Allman,3,3.5,25,4,Mathematics,VGVhY2hlci0yNjIxNzY0,2621764
Kelly,Altinsel,0,0,-1,0,English As A Second Language,VGVhY2hlci0xNTUzNDM5,1553439
Danielle,Altman,1.9,3.7,10,10,Physical Education,VGVhY2hlci0yMzU1NDk5,2355499
Francisco,Alvarez,4,2.4,-1,5,Mathematics,VGVhY2hlci0yMDY5MTQz,2069143
Rosanna,Alvarez,3.6,2.7,56.5217,23,Intercultural Studies,VGVhY2hlci0yMDEzMDM0,2013034
Felix,Amoruwa,2,3.2,21.0526,18,Computer Information Systems,VGVhY2hlci0yMzg3ODc3,2387877
Brigit,Ananya,3.9,1.4,-1,16,Mathematics & Statistics,VGVhY2hlci0xNTc5NjI3,1579627
Anton,Anatole,3.9,3,100,5,Philosophy,VGVhY2hlci03NTEzNzE=,751371
Arefi,Anba,3.6,2.3,-1,76,English,VGVhY2hlci0xMTQzNDQz,1143443
Charles,Anderson,2.8,3.3,100,77,Economics,VGVhY2hlci0yMzU0OTc=,235497
Elaine,Anderson,1.5,3,0,11,English,VGVhY2hlci01NDYwOTI=,546092
Gregory,Anderson,4.2,4.2,-1,33,English,VGVhY2hlci04MzU2NTY=,835656
Stephanie,Anderson,4.8,2.3,94.7368,39,Speech Communication,VGVhY2hlci0yMDMxOTIz,2031923
Kristen,Anderson,0,0,100,0,Film & Television,VGVhY2hlci0yNzQ0ODM0,2744834
Rene,Anderson-Watkins,4.4,3.4,85.7143,26,English,VGVhY2hlci0xODMwMzY3,1830367
Krikor,Andonian,3.8,2,100,11,Environmental Studies,VGVhY2hlci0xODAwMjQ1,1800245
Claudia,Andrade,4.2,2.4,76.1905,52,Anthropology,VGVhY2hlci0xNjIxMjQ4,1621248
Kimberlee,Andrews-Bingham,4.8,1.8,100,4,Business,VGVhY2hlci0yNDAzODc0,2403874
Miguel,Angeles,4,2.7,100,27,Biology,VGVhY2hlci0xNTQ5MzAw,1549300
Sklyar,Angelina,3,2,33.3333,3,English As A Second Language,VGVhY2hlci0xMzczMjE0,1373214
Vickie,Annen,4.2,3.3,40,152,Biology,VGVhY2hlci0xNjQ5OTU=,164995
Robert,Anthony,0,0,-1,0,Graphic Arts,VGVhY2hlci0yODYyNTc=,286257
Mike,Appio,4.7,1.9,100,7,Manufacturing & CNC Technology,VGVhY2hlci0xOTE5MTAx,1919101
Sundararajan,Arabhi,3.5,3.3,53.3333,26,Mathematics & Statistics,VGVhY2hlci0xOTA2Mzky,1906392
Joanne,Araki,0,0,-1,0,Nursing,VGVhY2hlci01NDcyMzc=,547237
Azin,Arefi,3.5,2.8,53.8462,44,English,VGVhY2hlci0yMjU3NTc=,225757
Diana,Argabrite,0,0,-1,0,Art,VGVhY2hlci0xODM5MTMw,1839130
Annie,Argyriou,0,0,-1,0,Reading,VGVhY2hlci0yMTU0MjEz,2154213
Anne,Argyriou,3,2.1,46.6667,95,English,VGVhY2hlci0xNzU0OTQ=,175494
Leighton,Armitage,2,3,33.3333,3,Political Science,VGVhY2hlci0yNjMyMDgy,2632082
Shilpa,Arora,2.3,2.3,-1,3,English,VGVhY2hlci0xMTk2Mzcx,1196371
Carlos,Arroyo,0,0,-1,0,Economics,VGVhY2hlci0xMjYxOTQz,1261943
Burcak,Artun,5,3.3,100,7,Chemistry,VGVhY2hlci0yNjA1MTM1,2605135
Maryam,Arvizu,4.6,2.3,84.6154,10,Mathematics & Statistics,VGVhY2hlci0yNjEzNTc1,2613575
Sholeh,Asgary,4.3,2.5,100,2,Photography,VGVhY2hlci0yMDIzMzgx,2023381
Ali,Ashtiyani,3.7,2,71.4286,3,Engineering,VGVhY2hlci0yNzA1MzQ1,2705345
Dan,Atencio,4.1,1.4,-1,11,Physical Education,VGVhY2hlci0xMTcyMDM0,1172034
Kathryn,Atwood,0,0,-1,0,Health Technology,VGVhY2hlci0yMTU0NDI2,2154426
Hai,Au,5,2,100,1,Mathematics,VGVhY2hlci0yMjY0ODYw,2264860
Yatman,Auyoung,1.6,4.3,25,126,Mathematics,VGVhY2hlci0xNTgxOTI=,158192
Joshua,Avera,4.5,2.5,82.1429,157,Psychology,VGVhY2hlci0xMTEyMzM1,1112335
Awad,Awad,4.9,1.4,-1,7,Linguistics,VGVhY2hlci0xNzAxNDMx,1701431
Elizabeth,Aydelott,4.5,3.2,100,11,English,VGVhY2hlci0yMDc5MjU0,2079254
Robert,Baden,4.8,3.5,100,2,English,VGVhY2hlci0yMTI4NTE0,2128514
Nicholas,Baiamonte,4.1,1.8,71.6981,236,Philosophy,VGVhY2hlci0xMDM2MjU1,1036255
Paria,Bakhtar,3,3.5,25,4,Chemistry,VGVhY2hlci0yMTUzODA2,2153806
Nora,Balabanian,4,2.6,82.6087,23,Biology,VGVhY2hlci0yMTQzMzc3,2143377
Latosha,Baldwin,0,0,100,0,Psychology,VGVhY2hlci0yNzMwMzc1,2730375
Linda,Balfe,2.8,3.5,-1,13,Mathematics,VGVhY2hlci0yODk5NzM=,289973
Cheryl,Balm,4,3.4,82.6087,35,Mathematics,VGVhY2hlci0xOTk1NTQw,1995540
Doli,Bambhania,4.2,3.1,64.7887,256,Mathematics,VGVhY2hlci0xNTQxNzc=,154177
Rishav,Bangladesh,3,4,-1,2,History,VGVhY2hlci0xMjAwNjI0,1200624
John,Banks,0,0,-1,0,Mathematics,VGVhY2hlci0yMzI2MjA2,2326206
Christopher,Bankston,3.9,3,71.4286,7,English As A Second Language,VGVhY2hlci0yMjcxMDU3,2271057
Nancy,Barasch-Kane,4,2.4,86.3636,28,English As A Second Language,VGVhY2hlci0xODg5MDM2,1889036
Joseph,Barbeau,4.8,3,100,5,Business,VGVhY2hlci0yNTU3MDE3,2557017
Dave,Barney,4.2,2.6,-1,37,Film,VGVhY2hlci0xNjc0NzE=,167471
Don,Barreta,4.1,2.4,-1,10,Economics,VGVhY2hlci01MjMyMjc=,523227
Maria,Basile,4.2,2,-1,13,Physical Ed,VGVhY2hlci01OTAyMTU=,590215
Ronney,Bates,2,2.2,9.0909,23,Computer Information Systems,VGVhY2hlci0xNzU1NDU=,175545
Cheryl,Battiato,3.9,3,100,26,Art,VGVhY2hlci01OTQ3MTI=,594712
Donna,Beaman,4,1.7,71.4286,54,Reading,VGVhY2hlci0zMTQ3ODg=,314788
Linda,Becerril,3.1,3,64.2857,24,Art,VGVhY2hlci0xNjA1NTgz,1605583
LaQuisha,Beckum,3.7,1.9,33.3333,66,Psychology,VGVhY2hlci05NDM2Nzg=,943678
Tom,Beggs,5,1.2,100,12,Physical Ed,VGVhY2hlci0yOTg3NTI=,298752
Emily,Beggs,4.4,1.8,89.4737,17,Anthropology,VGVhY2hlci0yMjk0MjM1,2294235
Vivian,Bejarin,3.4,2.2,68.75,56,English,VGVhY2hlci0xMjU4Njk0,1258694
Jessica,Belluomini,5,2.5,100,2,Reading,VGVhY2hlci0yMzI3MTAx,2327101
Brian,Bennett,4.3,2.7,85,38,Business,VGVhY2hlci0yMjI0NDEy,2224412
Nadia,Bensidi,3.6,2.6,72,82,Mathematics,VGVhY2hlci0yNTIxMjg=,252128
Emily,Benson,4,1.7,66.6667,15,English,VGVhY2hlci0xNzk4MzI0,1798324
Joe,Bentley,4.2,3.7,74.1935,59,Computer Information Systems,VGVhY2hlci0yNzMwMjY=,273026
Apryl,Berney,3.8,2.5,66.6667,77,Humanities,VGVhY2hlci0xMjk4ODg5,1298889
Tom,Berry,4.7,2.2,-1,6,Business,VGVhY2hlci0xMjI3MjIx,1227221
Thomas,Berry,5,2,-1,2,Business,VGVhY2hlci0xNTU0NDEz,1554413
Leslie,Berry,4.1,1.9,68.4211,97,Anthropology,VGVhY2hlci0xNTAyMTE=,150211
Maria,Bertola,4.3,1.6,-1,8,Languages,VGVhY2hlci02NDE2MTg=,641618
Marcy,Betlach,3.8,3.4,66,153,English As A Second Language,VGVhY2hlci0zMTU1NzU=,315575
Duran,Bezak,0,0,-1,0,Language Arts,VGVhY2hlci0yMjQwMDQ2,2240046
Sita,Bhattacharji,3.5,2.8,47.3684,49,Photography,VGVhY2hlci00Mjc2NzM=,427673
Tomislav,Biondic,4.3,1,-1,2,Environmental Studies,VGVhY2hlci0xNDU0NDA3,1454407
Tommy,Biondic,0,0,-1,0,Environmental Studies,VGVhY2hlci0xNDU4OTQ5,1458949
Kamau,Birago,3.3,3.1,29.4118,50,Sociology,VGVhY2hlci0xMjI3NjU0,1227654
Natalie,Bitton,4,3.2,-1,27,Psychology,VGVhY2hlci01NjUzOTA=,565390
Angus,Blackwood,3.8,2.2,-1,9,Business,VGVhY2hlci0zOTcxNzE=,397171
Daniel,Blanchette,4.5,2.6,87.5,16,Paralegal Studies,VGVhY2hlci0xOTA3ODE2,1907816
Gino,Blefari,3.5,2.7,-1,17,Real Estate,VGVhY2hlci00MzU0Mzc=,435437
Stephen,Blohm,4.2,1.9,83.3333,52,Economics,VGVhY2hlci0xNTkwNTA5,1590509
Roberta,Bloom,3.2,3.3,70.5882,156,Mathematics,VGVhY2hlci04OTgyNg==,89826
Cassandra,Blume,4.5,2.5,100,2,Intercultural Studies,VGVhY2hlci0yNTc1NTE0,2575514
Rebecca,Board Liljenstolpe,4,2.6,64.2857,85,English,VGVhY2hlci0zOTM4NTM=,393853
Karen,Boerner,3,3.1,66.6667,44,English As A Second Language,VGVhY2hlci04Njg2OA==,86868
Diane,Bogart,4.7,3.3,-1,3,Law,VGVhY2hlci04NjE1NjM=,861563
Maryalice,Bonilla,3.4,3.7,80,139,English,VGVhY2hlci03MDk3ODU=,709785
Griffin,Bonini,4.8,2.4,100,12,Paralegal Studies,VGVhY2hlci0xNzAyNjYz,1702663
Charles,Booher,4,3,77.3585,51,Philosophy,VGVhY2hlci0yMTk2Njgy,2196682
 Guido ,Bordignon,4.5,3,89.2857,37,Biology,VGVhY2hlci0yMDg0NjI3,2084627
Gilda,Borrelli,0,0,-1,0,Language Arts,VGVhY2hlci0yMDM3MTU5,2037159
Surajit,Bose,3.2,3.5,-1,6,English,VGVhY2hlci0xODE3NDA4,1817408
Lydia,Botsford,3.6,2.8,56.6038,148,Accounting,VGVhY2hlci02MjQyMDM=,624203
Karen,Boulanger,0,0,-1,0,Athletics,VGVhY2hlci0yNDM0ODc4,2434878
Hassan,Bourgoub,2.3,3.3,24.1071,374,Mathematics,VGVhY2hlci0xNzE0MDg=,171408
Ron,Bowman,3.9,2.4,-1,56,Mathematics,VGVhY2hlci0yMzYyNDg=,236248
Cristin,Boyd,4,3,66.6667,3,English As A Second Language,VGVhY2hlci0yMjY4MzEx,2268311
Ivana,Bozidarevic,3.4,3.7,-1,7,Chemistry,VGVhY2hlci0xNjU3Mjcy,1657272
Kimberly,Braasch,4.1,3.6,85.7143,7,English,VGVhY2hlci0yMjQ1NDk5,2245499
Kimberly,Braasch,0,0,-1,0,Language Arts,VGVhY2hlci0yNDY2NTQ0,2466544
Shannon,Bracy,2,5,-1,1,Athletics,VGVhY2hlci0xOTA4ODc5,1908879
John,Brady,5,2,100,1,Economics,VGVhY2hlci0yNDM5Mzk3,2439397
Mark,Brady,3.7,2.6,50,51,Economics,VGVhY2hlci0xMDgzMDQ2,1083046
Jason,Bram,4.8,2.8,93.5897,154,Biology,VGVhY2hlci0xNTUyNDY0,1552464
Jennifer,Brandon,0,0,-1,0,Humanities,VGVhY2hlci0xNDQ4ODQ3,1448847
Michael,Brandt,4.7,2.4,-1,33,Automotive Technology,VGVhY2hlci0yNjMwMzQ=,263034
Cynthia,Brannvall,0,0,-1,0,Art,VGVhY2hlci0yNTc3NDYy,2577462
Elaine,Bredl,4.5,2.7,100,10,Reading,VGVhY2hlci0xODI3NjU4,1827658
Mary,Breen,3.4,3.5,100,11,Accounting,VGVhY2hlci0xNDY3MDEz,1467013
Roger,Breen,0,0,-1,0,Accounting,VGVhY2hlci0xOTUxMTEy,1951112
Mia,Breen,3.2,3.2,48.5714,124,Accounting,VGVhY2hlci0xMDk4NDQx,1098441
Salamander,Breiter,4.9,1.7,100,314,Humanities,VGVhY2hlci01NTM0MzE=,553431
Raymond,Brennan,4.5,3.2,51.5152,171,English,VGVhY2hlci05Mzk5NA==,93994
Elizabeth,Bresman,0,0,-1,0,Art,VGVhY2hlci0xNDkwMjk4,1490298
Patrick,Bresnan,4.1,2.3,100,83,Social Science,VGVhY2hlci05NDM1OQ==,94359
Elizabeth,Bresnan,2.7,3.2,-1,61,Fine Arts,VGVhY2hlci0yODA2Mjk=,280629
Elizabeth,Bresnen,2.8,2.3,0,7,Art History,VGVhY2hlci02NDQ4NTM=,644853
Emily,Breunig,4.9,2.3,100,26,English,VGVhY2hlci0xMTEwNDIz,1110423
Nicholas,Bridger,2.7,3.6,33.3333,13,Intercultural Studies,VGVhY2hlci0xOTkwNDQ2,1990446
Richard,Brien,4.3,2.4,-1,44,Business,VGVhY2hlci0zMTQ4MDk=,314809
Marcia,Briggs,4.3,1.2,50,36,Fine Arts,VGVhY2hlci0xNTgyMjg=,158228
Reza,Brojerdi,2.8,2.3,25,10,Mathematics,VGVhY2hlci0xODI4NDQ2,1828446
Megan,Brophy,4.4,3,90.3226,27,Chemistry,VGVhY2hlci0yMjkxMjc5,2291279
Ronald,Brown,1.8,3,-1,2,Computer Information Systems,VGVhY2hlci03OTk2NDU=,799645
Sean,Brown,4.4,1.8,-1,5,English,VGVhY2hlci05NjU4NDM=,965843
Terrance,Brown,4.3,2.4,-1,40,Accounting,VGVhY2hlci0xMDEwMzU2,1010356
Tamika,Brown,3.5,1.6,50,22,Ethnic Studies,VGVhY2hlci0xMDc3Mzcy,1077372
Jordan,Brownlee,0,0,-1,0,Music,VGVhY2hlci0xMjI4NjI5,1228629
Susan,Bruch,3.4,3.3,-1,7,Biology,VGVhY2hlci00NDA2NjY=,440666
Patricia,Bruegger,4.9,1.9,-1,11,Fine Arts,VGVhY2hlci02NDM4OTc=,643897
Katie,Brundage,4.9,4.4,-1,7,English As A Second Language,VGVhY2hlci0xMjUzOTAy,1253902
Randy,Bryant,3.2,2.3,-1,3,Automotive Technology,VGVhY2hlci03MTg4NDg=,718848
Dave,Buettner,3,3.1,-1,13,Psychology,VGVhY2hlci0xNTkxNjc2,1591676
Huu,Bui,3.9,2,-1,20,Vietnamese,VGVhY2hlci0zNDc3Nzk=,347779
Michael,Bull,3.1,3.4,100,174,Economics,VGVhY2hlci00NTEwMA==,45100
Mike,Bull,2.6,3.8,-1,8,Economics,VGVhY2hlci0xMTA5MTM2,1109136
Daniel,Bulmahn,4.7,3,100,3,Chemistry,VGVhY2hlci0yNTAxNzQ1,2501745
Daniel,Bunce,4.8,2.2,100,118,Philosophy,VGVhY2hlci0yMjExOTA=,221190
Angela,Bur,1.8,4.5,-1,2,Child Development,VGVhY2hlci0xMjc5NjEy,1279612
Patty,Burgos,5,1.2,100,4,Counseling,VGVhY2hlci0xNzM4MjY1,1738265
Jane,Burgunder,2,4.2,-1,6,Design,VGVhY2hlci00MDE0MjU=,401425
Larry,Burke,2.9,2.7,-1,81,Philosophy,VGVhY2hlci0xMDM1MjY=,103526
Byron,Burkhalter,4.4,2.7,-1,17,Sociology,VGVhY2hlci03MTg0NjA=,718460
Elizabeth,Burns,3.1,3.2,100,47,Economics,VGVhY2hlci0yMzk3NDQ=,239744
Dennis,Burns,5,1.7,100,4,Administration Of Justice,VGVhY2hlci0yMzQ2NjAy,2346602
Ray,Buyco,5,3.4,100,8,History,VGVhY2hlci0xODE2OTMx,1816931
Morgane,Byloss,0,0,-1,0,Languages,VGVhY2hlci0xMDkwOTM5,1090939
Sarah,Cabayan,0,0,-1,0,Medical Laboratory Technician,VGVhY2hlci0yMzQzNDA3,2343407
Lucinda,Cabral,2.7,3.2,58.3333,20,English As A Second Language,VGVhY2hlci0xNzI4OTk0,1728994
Catie,Cadge-Moore,3.9,2.3,44.4444,152,International Studies,VGVhY2hlci0xNzE2OTg=,171698
Catie,Cadgemore,3.4,2.8,0,8,Art,VGVhY2hlci0xNDkwMjk5,1490299
Richard,Cahill,3.1,2.8,-1,55,Chemistry,VGVhY2hlci0xNzE5OTM=,171993
Paul,Calgher,2.3,3.5,40,112,Chemistry,VGVhY2hlci0yMTc2NTc=,217657
Theodore,Calgher,3.2,1.9,-1,8,African-American Studies,VGVhY2hlci0xNzM3OTk2,1737996
Theresa,Calpotura,5,1,-1,1,Music,VGVhY2hlci0xNTU5NTI0,1559524
Tracy,Camp,4.4,1.9,-1,50,Mathematics,VGVhY2hlci0xNjY4MjE=,166821
Anastasiya,Campbell,5,4,100,2,Mathematics,VGVhY2hlci0yNDU0NTg5,2454589
Alison,Campbell,3.6,2.6,50,9,Physical Education,VGVhY2hlci0xODY3NjYy,1867662
Royce,Cano,4.3,2.5,100,36,Speech,VGVhY2hlci0yMzQ3MDM=,234703
Nancy,Canter,3.9,1.8,-1,4,Art,VGVhY2hlci0xODAwMzU4,1800358
Lucas,Cantin,0,0,-1,0,Chemistry,VGVhY2hlci0yNDY4Njk5,2468699
Michael,Cao,3.6,3.2,100,34,Mathematics & Statistics,VGVhY2hlci0xNTUzNzgw,1553780
